"","net_greenhouse_pc_1","Fertilizer_used_per_area_of_cropland_1","Share_in_land_area_Forest_Land_1"
"1",-0.24713412369426,0.347850976528566,0.131795071800205
"2",0,0.194123286901426,0.136864113023289
"3",0.0823780412314201,0.270426081752853,0.131795071800205
"4",-0.247134123694262,-0.197489586674282,0.136864113023289
"5",0.329512164925682,0.131285691141425,0.131795071800203
"6",-0.0823780412314201,-0.0538607963657124,0.136864113023289
"7",0.16475608246284,-0.188512787279998,0.131795071800205
"8",0.247134123694262,-0.228908384554282,0.136864113023289
"9",-0.08237804123142,0.0134651990914273,0.131795071800205
"10",0.16475608246284,-0.292868080238567,0.0557594534539324
"11",-0.16475608246284,-0.444351570017136,0.111518906907865
"12",0,0.914511438292844,0.11658794813095
"13",0.329512164925682,0.311943778951425,0.111518906907865
"14",0,0.217687385311427,0.111518906907867
"15",-0.0823780412314217,-0.539730063581422,0.11658794813095
"16",-0.16475608246284,0.341118376982852,0.111518906907865
"17",0.247134123694262,0.361316175619995,0.111518906907865
"18",-0.494268247388523,-1.9064477713614,0.111518906907865
"19",-0.906158453545624,-1.45087520210141,0.11658794813095
"20",0.0823780412314201,-0.228908384554283,0.111518906907867
"21",-0.0823780412314201,0.462305168805708,0.0912427420155262
"22",-0.16475608246284,0.664283155177134,0.0912427420155261
"23",-0.741402371082784,0.479136667669994,0.0963117832386099
"24",-0.411890206157102,-0.354583576074281,0.0912427420155278
"25",0.164756082462841,0.444351570017137,0.0912427420155261
"26",0.0823780412314201,-0.113332092352856,0.0912427420155262
"27",0.164756082462841,-0.0976226934128547,0.0912427420155262
"28",-0.247134123694261,-0.00897679939428542,0.091242742015526
"29",-0.164756082462841,-0.08640169417,0.0963117832386118
"30",-0.494268247388522,-0.237885183948568,0.0912427420155262
