"","net_greenhouse_pc_d2","industrial_production_2","energy_imp_dep_2"
"1",0.299999999999999,-0.0916590284139858,4.62399999999998
"2",0.0999999999999996,-1.50820764936302,-5.71499999999999
"3",-0.4,9.09924172985602,3.899
"4",0.700000000000001,0.208315973668988,0.936999999999998
"5",-0.5,-8.640946587784,-1.328
"6",0.299999999999999,6.507791017415,-1.149
"7",0.100000000000001,-3.008082659778,2.33200000000001
"8",-0.4,-1.816515290393,0.012999999999991
"9",0.299999999999999,5.49954170485799,2.44500000000001
"10",-0.399999999999999,-7.49104241313198,-6.845
"11",0.199999999999999,0.424964586283977,5.624
"12",0.4,1.09157570202501,-4.93899999999999
"13",-0.4,0.558286809432005,3.95899999999999
"14",-0.100000000000001,-0.541621531538013,-2.377
"15",-0.0999999999999979,5.18290142488101,3.53100000000001
"16",0.5,-1.48320973252299,-5.38400000000001
"17",-0.900000000000002,-8.24931255728602,2.66700000000002
"18",-0.499999999999998,-17.681859845013,-1.82900000000001
"19",1.2,30.039163403049,3.821
"20",-0.199999999999999,-6.19115073743799,-3.012
"21",-0.0999999999999996,-7.09107574368801,-1.026
"22",-0.700000000000001,3.09974168819291,-0.128999999999991
"23",0.4,2.50812432297269,1.44799999999999
"24",0.7,1.64986251145751,2.14399999999999
"25",-0.100000000000001,1.03324722939729,-0.595999999999989
"26",0.100000000000001,1.7581868177656,-1.29700000000001
"27",-0.5,-2.91642363136401,0.0330000000000013
"28",0.0999999999999996,-2.13315557036998,1.78700000000001
"29",-0.399999999999999,-10.3241396550279,-5.176
