"","net_greenhouse_pc_1","GDP_pc_1","Fertilizer_used_per_area_of_cropland_1"
"1",-0.24713412369426,0.212136239996595,0.347850976528566
"2",0,0.112275858651407,0.194123286901426
"3",0.0823780412314201,-0.13494031801467,0.270426081752853
"4",-0.247134123694262,0.311830332452803,-0.197489586674282
"5",0.329512164925682,0.431345575711883,0.131285691141425
"6",-0.0823780412314201,0.190474924205662,-0.0538607963657124
"7",0.16475608246284,0.276615041198416,-0.188512787279998
"8",0.247134123694262,0.282316875851467,-0.228908384554282
"9",-0.08237804123142,0.259489248217709,0.0134651990914273
"10",0.16475608246284,0.612996417141132,-0.292868080238567
"11",-0.16475608246284,0.322067549021265,-0.444351570017136
"12",0,0.0181501899958318,0.914511438292844
"13",0.329512164925682,-0.0529866104295507,0.311943778951425
"14",0,0.133020720001736,0.217687385311427
"15",-0.0823780412314217,0.0563930908671166,-0.539730063581422
"16",-0.16475608246284,0.259607796689878,0.341118376982852
"17",0.247134123694262,0.173126263741657,0.361316175619995
"18",-0.494268247388523,-0.289461639080323,-1.9064477713614
"19",-0.906158453545624,-1.00656348928291,-1.45087520210141
"20",0.0823780412314201,0.232788185258568,-0.228908384554283
"21",-0.0823780412314201,0.0900255706466221,0.462305168805708
"22",-0.16475608246284,-0.549194509102454,0.664283155177134
"23",-0.741402371082784,-0.487191321313928,0.479136667669994
"24",-0.411890206157102,-0.145962612739962,-0.354583576074281
"25",0.164756082462841,0.137951849732179,0.444351570017137
"26",0.0823780412314201,0.232975604499991,-0.113332092352856
"27",0.164756082462841,0.293588102005996,-0.0976226934128547
"28",-0.247134123694261,0.183566101612923,-0.00897679939428542
"29",-0.164756082462841,0.273740749180148,-0.08640169417
"30",-0.494268247388522,-1.45089985034951,-0.237885183948568
