"","net_greenhouse_pc_1","naturalgas_imports_1","oil_imports_1"
"1",-0.24713412369426,0.15979776816416,-0.260763044394428
"2",0,0.0577221023392041,0.427665507180036
"3",0.0823780412314201,-0.112820472753899,-0.0901202727176413
"4",-0.247134123694262,-0.18678472510197,-0.130628523727764
"5",0.329512164925682,0.322219268252829,-0.131404814252348
"6",-0.0823780412314201,0.173166307017612,0.0717715875911051
"7",0.16475608246284,0.124877145645096,0.0829219423987694
"8",0.247134123694262,0.22245498531375,0.269443383896597
"9",-0.08237804123142,0.4271685452332,-0.364785974688714
"10",0.16475608246284,0.497447078925412,0.167608181444321
"11",-0.16475608246284,-0.166919326244971,-0.228370557959505
"12",0,0.282113651692473,0.0691604285538673
"13",0.329512164925682,0.218831736465618,0.0810870738861158
"14",0,0.319470596712867,-0.0537757617939254
"15",-0.0823780412314217,0.346832372497035,0.022865284542299
"16",-0.16475608246284,0.246068572634334,-0.0896968415224135
"17",0.247134123694262,-0.215458366848392,0.0556812021724503
"18",-0.494268247388523,0.182224429137942,-0.431829247266443
"19",-0.906158453545624,-0.475832525452074,-0.543332795343086
"20",0.0823780412314201,0.381315706362014,0.184545429253432
"21",-0.0823780412314201,-0.31141199151616,-0.495908501477577
"22",-0.16475608246284,-0.165170171628631,-0.318561402543017
"23",-0.741402371082784,-0.359763622696402,-0.547567107295363
"24",-0.411890206157102,-0.387875036173287,-0.470079198568683
"25",0.164756082462841,0.344146170764799,0.652436899980105
"26",0.0823780412314201,0.25100368744472,0.0668315569801146
"27",0.164756082462841,0.272745554386205,0.225898848929228
"28",-0.247134123694261,-0.111045830456007,-0.239009690170797
"29",-0.164756082462841,0.199454164337156,-0.0629464346201685
"30",-0.494268247388522,-0.291885491366077,-1.05760811891673
